"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 08 18:35:26 IST 2022","Tue Nov 08 18:35:37 IST 2022","10384","All Test Suite","Login Page","Tests.LoginLogout","Tests.LoginLogout","loginflow","Check login flow",""
"passed","Tue Nov 08 18:35:09 IST 2022","Tue Nov 08 18:35:13 IST 2022","4134","All Test Suite","Login Page","Tests.LoginLogout","Tests.LoginLogout","emptyCredentials","Check emptyCredentials flow",""
"broken","Wed Nov 09 17:18:45 IST 2022","Wed Nov 09 17:18:51 IST 2022","6214","All Test Suite","Upload and Analyse","Pages.UploadAndAnalyse","Pages.UploadAndAnalyse","uploadAndAnalyze","Check U&A flow for bitewing image",""
"passed","Tue Nov 08 18:41:36 IST 2022","Tue Nov 08 18:42:21 IST 2022","44735","All Test Suite","Chatbot","Tests.Chatbot","Tests.Chatbot","ChatBot","Check ChatBot flow",""
"passed","Wed Nov 09 17:23:18 IST 2022","Wed Nov 09 17:23:24 IST 2022","6826","All Test Suite","Search Patient","Pages.SearchPatient","Pages.SearchPatient","searchPatientFlow","Check search patient flow",""
"passed","Tue Nov 08 18:44:02 IST 2022","Tue Nov 08 18:44:11 IST 2022","8346","All Test Suite","Settings","Tests.Settings","Tests.Settings","settingsFlow2","Check negative settings flow",""
"passed","Wed Nov 09 17:24:36 IST 2022","Wed Nov 09 17:24:42 IST 2022","5836","All Test Suite","Settings","Pages.Settings","Pages.Settings","settingsFlow5","Check negative settings flow",""
"passed","Tue Nov 08 18:37:25 IST 2022","Tue Nov 08 18:37:59 IST 2022","33610","All Test Suite","Upload and Analyse","Tests.UploadAndAnalyse","Tests.UploadAndAnalyse","periapicalImage","Check U&A flow for periapical image",""
"passed","Wed Nov 09 17:18:09 IST 2022","Wed Nov 09 17:18:23 IST 2022","14582","All Test Suite","Add Patient Test","Pages.AddPatient","Pages.AddPatient","addPatientWithInvalidName","Check add patient flow with invalid name input",""
"passed","Tue Nov 08 18:35:17 IST 2022","Tue Nov 08 18:35:22 IST 2022","4490","All Test Suite","Login Page","Tests.LoginLogout","Tests.LoginLogout","invalidPassword","Check invalidPassword flow",""
"passed","Wed Nov 09 17:17:56 IST 2022","Wed Nov 09 17:18:09 IST 2022","12635","All Test Suite","Add Patient Test","Pages.AddPatient","Pages.AddPatient","addPatient","Check Add Patient flow",""
"passed","Wed Nov 09 12:48:11 IST 2022","Wed Nov 09 12:48:47 IST 2022","35968","All Test Suite","Any Test","Tests.UploadAndAnalyse","Tests.UploadAndAnalyse","teethNumbering","Teeth Numbering Flow",""
"broken","Wed Nov 09 17:20:20 IST 2022","Wed Nov 09 17:20:50 IST 2022","29361","All Test Suite","Upload and Analyse","Pages.UploadAndAnalyse","Pages.UploadAndAnalyse","addNotes","Add Notes Flow",""
"passed","Tue Nov 08 18:36:20 IST 2022","Tue Nov 08 18:36:35 IST 2022","15119","All Test Suite","Add Patient Test","Tests.AddPatient","Tests.AddPatient","addPatientWithInvalidName","Check add patient flow with invalid name input",""
"passed","Tue Nov 08 18:39:24 IST 2022","Tue Nov 08 18:39:59 IST 2022","34762","All Test Suite","Upload and Analyse","Tests.UploadAndAnalyse","Tests.UploadAndAnalyse","doctorsNotes","Doctors Notes Flow",""
"passed","Wed Nov 09 17:18:23 IST 2022","Wed Nov 09 17:18:23 IST 2022","33","All Test Suite","Add Patient Test","Pages.AddPatient","Pages.AddPatient","addPatientbtn","Check Add Patient flow",""
"passed","Tue Nov 08 18:36:35 IST 2022","Tue Nov 08 18:36:35 IST 2022","27","All Test Suite","Add Patient Test","Tests.AddPatient","Tests.AddPatient","addPatientbtn","Check Add Patient flow",""
"failed","Wed Nov 09 17:19:23 IST 2022","Wed Nov 09 17:19:47 IST 2022","24217","All Test Suite","Upload and Analyse","Pages.UploadAndAnalyse","Pages.UploadAndAnalyse","uAndARegession","Upload and analyze Regression flow",""
"passed","Wed Nov 09 17:24:33 IST 2022","Wed Nov 09 17:24:36 IST 2022","2376","All Test Suite","Settings","Pages.Settings","Pages.Settings","settingsFlow3","Check negative settings flow",""
"passed","Wed Nov 09 17:24:18 IST 2022","Wed Nov 09 17:24:25 IST 2022","7140","All Test Suite","Settings","Pages.Settings","Pages.Settings","settingsFlow","Check settings flow",""
"passed","Wed Nov 09 17:17:34 IST 2022","Wed Nov 09 17:17:37 IST 2022","3095","All Test Suite","Login Page","Pages.LoginLogout","Pages.LoginLogout","logoutflow","Check logout flow",""
"passed","Tue Nov 08 18:43:08 IST 2022","Tue Nov 08 18:43:33 IST 2022","25601","All Test Suite","Support","Tests.Support","Tests.Support","supportFlow","Check support flow",""
"broken","Tue Nov 08 18:38:43 IST 2022","Tue Nov 08 18:39:24 IST 2022","41307","All Test Suite","Upload and Analyse","Tests.UploadAndAnalyse","Tests.UploadAndAnalyse","addNotes","Add Notes Flow",""
"passed","Wed Nov 09 17:24:25 IST 2022","Wed Nov 09 17:24:33 IST 2022","8499","All Test Suite","Settings","Pages.Settings","Pages.Settings","settingsFlow2","Check negative settings flow",""
"broken","Wed Nov 09 17:25:01 IST 2022","Wed Nov 09 17:25:22 IST 2022","20568","All Test Suite","Patients Flow","Pages.Patient","Pages.Patient","PatientVisits","Check patient visits flow",""
"passed","Wed Nov 09 17:18:51 IST 2022","Wed Nov 09 17:19:23 IST 2022","31932","All Test Suite","Upload and Analyse","Pages.UploadAndAnalyse","Pages.UploadAndAnalyse","periapicalImage","Check U&A flow for periapical image",""
"passed","Tue Nov 08 18:44:13 IST 2022","Tue Nov 08 18:44:13 IST 2022","150","All Test Suite","Settings","Tests.Settings","Tests.Settings","settingsFlow4","Check negative settings flow",""
"passed","Wed Nov 09 17:21:17 IST 2022","Wed Nov 09 17:21:42 IST 2022","25089","All Test Suite","Upload and Analyse","Pages.UploadAndAnalyse","Pages.UploadAndAnalyse","editTeethNumber","Edit teeth numbers Flow",""
"passed","Wed Nov 09 17:17:24 IST 2022","Wed Nov 09 17:17:34 IST 2022","10192","All Test Suite","Login Page","Pages.LoginLogout","Pages.LoginLogout","loginflow","Check login flow",""
"broken","Tue Nov 08 18:37:00 IST 2022","Tue Nov 08 18:37:25 IST 2022","24781","All Test Suite","Upload and Analyse","Tests.UploadAndAnalyse","Tests.UploadAndAnalyse","uploadAndAnalyze","Check U&A flow for bitewing image",""
"failed","Tue Nov 08 18:37:59 IST 2022","Tue Nov 08 18:38:21 IST 2022","22259","All Test Suite","Upload and Analyse","Tests.UploadAndAnalyse","Tests.UploadAndAnalyse","uAndARegession","Upload and analyze Regression flow",""
"passed","Wed Nov 09 17:23:24 IST 2022","Wed Nov 09 17:23:29 IST 2022","4312","All Test Suite","Search Patient","Pages.SearchPatient","Pages.SearchPatient","searchPatientNegFlow","Check negative search patient flow",""
"passed","Tue Nov 08 18:36:07 IST 2022","Tue Nov 08 18:36:20 IST 2022","12965","All Test Suite","Add Patient Test","Tests.AddPatient","Tests.AddPatient","addPatient","Check Add Patient flow",""
"passed","Tue Nov 08 18:40:29 IST 2022","Tue Nov 08 18:41:04 IST 2022","35084","All Test Suite","Upload and Analyse","Tests.UploadAndAnalyse","Tests.UploadAndAnalyse","addFindingsFlow","Add findings Flow",""
"passed","Wed Nov 09 17:22:08 IST 2022","Wed Nov 09 17:22:53 IST 2022","44686","All Test Suite","Chatbot","Pages.Chatbot","Pages.Chatbot","ChatBot","Check ChatBot flow",""
"broken","Wed Nov 09 17:20:50 IST 2022","Wed Nov 09 17:21:17 IST 2022","27089","All Test Suite","Upload and Analyse","Pages.UploadAndAnalyse","Pages.UploadAndAnalyse","doctorsNotes","Doctors Notes Flow",""
"broken","Wed Nov 09 17:21:42 IST 2022","Wed Nov 09 17:21:48 IST 2022","6040","All Test Suite","Upload and Analyse","Pages.UploadAndAnalyse","Pages.UploadAndAnalyse","addFindingsFlow","Add findings Flow",""
"passed","Wed Nov 09 17:23:38 IST 2022","Wed Nov 09 17:23:58 IST 2022","20680","All Test Suite","Support","Pages.Support","Pages.Support","supportFlow","Check support flow",""
"passed","Wed Nov 09 17:19:47 IST 2022","Wed Nov 09 17:20:20 IST 2022","33023","All Test Suite","Upload and Analyse","Pages.UploadAndAnalyse","Pages.UploadAndAnalyse","teethNumbering","Teeth Numbering Flow",""
